epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,555.086,0.43279,1.02547,0.9898,0.98724,1,0.995,0.91339,0.46321,1.16812,1.09467,0.000187945,0.000187945,0.000187945
46,566.572,0.43621,1.08602,1.03435,0.98734,1,0.995,0.91353,0.45148,1.17401,1.0678,0.000184649,0.000184649,0.000184649
47,577.763,0.45126,1.02678,1.02326,0.98734,1,0.995,0.91353,0.45148,1.17401,1.0678,0.000181352,0.000181352,0.000181352
48,589.089,0.50807,1.14044,1.07719,0.98751,1,0.995,0.91363,0.45607,1.1855,1.06377,0.000178055,0.000178055,0.000178055
49,600.525,0.48384,0.98668,1.0364,0.98752,1,0.995,0.91383,0.46469,1.22614,1.06529,0.000174758,0.000174758,0.000174758
50,611.633,0.46658,0.99626,1.00633,0.98826,1,0.995,0.9142,0.46603,1.31241,1.04541,0.000171462,0.000171462,0.000171462
51,622.714,0.50725,1.05827,1.0505,0.98826,1,0.995,0.9142,0.46603,1.31241,1.04541,0.000168165,0.000168165,0.000168165
52,634.261,0.45656,0.97511,1.01253,0.9891,1,0.995,0.91409,0.47795,1.38718,1.0357,0.000164868,0.000164868,0.000164868
53,645.493,0.4773,0.97161,1.0099,0.99146,1,0.995,0.88439,0.47936,1.44188,1.02557,0.000161572,0.000161572,0.000161572
54,656.794,0.49982,0.98837,1.05377,0.99156,1,0.995,0.88439,0.47874,1.45419,1.02151,0.000158275,0.000158275,0.000158275
55,667.966,0.43553,0.98449,0.99126,0.99156,1,0.995,0.88439,0.47874,1.45419,1.02151,0.000154978,0.000154978,0.000154978
56,679.379,0.4187,0.93855,0.97953,0.99035,1,0.995,0.88439,0.47175,1.37913,1.02517,0.000151682,0.000151682,0.000151682
57,691.972,0.45855,0.92392,0.99041,0.98854,1,0.995,0.88482,0.45938,1.25466,1.03093,0.000148385,0.000148385,0.000148385
58,703.361,0.44944,0.94942,0.99427,0.98746,1,0.995,0.88482,0.44732,1.14632,1.03748,0.000145088,0.000145088,0.000145088
59,714.52,0.44675,0.93773,0.99845,0.98746,1,0.995,0.88482,0.44732,1.14632,1.03748,0.000141791,0.000141791,0.000141791
60,725.756,0.40978,0.88198,0.96809,0.98717,1,0.995,0.9648,0.4356,1.09599,1.03513,0.000138495,0.000138495,0.000138495
61,737.032,0.43807,0.99115,1.00781,0.98726,1,0.995,0.9644,0.43352,1.07943,1.03293,0.000135198,0.000135198,0.000135198
62,748.5,0.39275,1.02427,0.9924,0.98716,1,0.995,0.9644,0.43569,1.08722,1.03583,0.000131901,0.000131901,0.000131901
63,759.566,0.43387,0.87388,0.94801,0.98716,1,0.995,0.9644,0.43569,1.08722,1.03583,0.000128605,0.000128605,0.000128605
64,770.65,0.41228,0.93035,0.98955,0.98717,1,0.995,0.9644,0.43983,1.09727,1.03614,0.000125308,0.000125308,0.000125308
65,781.814,0.38731,0.89515,0.98234,0.98732,1,0.995,0.96424,0.44224,1.11144,1.04002,0.000122011,0.000122011,0.000122011
66,792.971,0.39324,0.91775,0.96614,0.98721,1,0.995,0.96459,0.43838,1.12957,1.03895,0.000118714,0.000118714,0.000118714
67,804.069,0.41833,0.93062,0.97596,0.98721,1,0.995,0.96459,0.43838,1.12957,1.03895,0.000115418,0.000115418,0.000115418
68,815.714,0.39383,0.85941,0.94886,0.98759,1,0.995,0.96459,0.44058,1.19209,1.03635,0.000112121,0.000112121,0.000112121
69,827.858,0.44188,1.05842,1.01375,0.98759,1,0.995,0.9648,0.44358,1.27088,1.0351,0.000108824,0.000108824,0.000108824
70,840.651,0.42302,0.90089,0.94867,0.98808,1,0.995,0.96459,0.44375,1.3484,1.0309,0.000105528,0.000105528,0.000105528
71,852.072,0.4144,0.89686,0.96991,0.98808,1,0.995,0.96459,0.44375,1.3484,1.0309,0.000102231,0.000102231,0.000102231
72,863.814,0.57266,1.03037,1.11945,0.98827,1,0.995,0.96506,0.43434,1.37811,1.01898,9.89343e-05,9.89343e-05,9.89343e-05
73,875.01,0.37586,0.91906,0.95335,0.98838,1,0.995,0.96459,0.42512,1.35478,1.00418,9.56376e-05,9.56376e-05,9.56376e-05
74,886.278,0.42467,0.9258,0.9978,0.9882,1,0.995,0.96459,0.41274,1.35711,0.9938,9.23409e-05,9.23409e-05,9.23409e-05
75,897.325,0.46343,1.00898,1.04308,0.9882,1,0.995,0.96459,0.41274,1.35711,0.9938,8.90442e-05,8.90442e-05,8.90442e-05
76,908.717,0.39012,0.84502,0.96839,0.98815,1,0.995,0.96398,0.39796,1.33464,0.98519,8.57475e-05,8.57475e-05,8.57475e-05
77,920.136,0.43522,0.91093,1.00849,0.98847,1,0.995,0.9636,0.38663,1.32791,0.97815,8.24508e-05,8.24508e-05,8.24508e-05
78,931.56,0.40694,0.93502,1.01047,0.98851,1,0.995,0.995,0.3768,1.32897,0.9722,7.91541e-05,7.91541e-05,7.91541e-05
79,942.824,0.37872,0.8362,0.94642,0.98851,1,0.995,0.995,0.3768,1.32897,0.9722,7.58574e-05,7.58574e-05,7.58574e-05
80,954.674,0.36393,0.86706,0.92022,0.98813,1,0.995,0.995,0.37359,1.29662,0.97398,7.25607e-05,7.25607e-05,7.25607e-05
